"language"," filename"," LOC"
"java","Input.java"," 6"
"java","KWICObjectLoader.java"," 20"
"java","DescendingAlphabetizer.java"," 12"
"java","Alphabetizer.java"," 5"
"java","TxtOut.java"," 24"
"java","SearchProcessor.java"," 27"
"java","CommandValidator.java"," 15"
"java","LineStorage.java"," 18"
"java","CommandProcessor.java"," 33"
"java","KWICProcessor.java"," 50"
"java","OptionReader.java"," 38"
"java","TxtIn.java"," 31"
"java","ConsoleOut.java"," 12"
"java","IndexProcessor.java"," 51"
"java","AscendingAlphabetizer.java"," 12"
"java","Output.java"," 5"
"java","CsvIn.java"," 28"
"java","Main.java"," 30"
